C:\Users\Assaf\Anaconda3\python.exe C:/Users/Assaf/PycharmProjects/GaTest/FindMatches/find_matches.py
Number of matches is: 6986
Printing mismatches for keys:  ['p1.hotel_name', 'p2.hotel_name']  number of mismatches: 546
                                         p1.hotel_name                                      p2.hotel_name
1                                    Full House Resort                                   Fullhouse Resort
2                    Ondas Do Mar Beach Resort Phase 1                 Ondas Do Mar Beach Resort Phase -1
3    7 Days Inn Guangzhou Baiyun Yongtai Metro 2nd ...  7Days Inn Guangzhou Baiyun Yongtai Subway Stat...
5                                  Pension Flying Sumo                           Flying Sumo Surf Company
10                         Inn The City Business Hotel                                 Inn The City Hotel
11                                      Khumsuk Resort                                     Khamsuk Resort
12                                Foshan Baolong Hotel                 Foshan Baolong International Hotel
13                                       Irokan Ryokan                                            Iroukan
14                                     Park Wood Hotel                    Park Wood Hotel - Academgorodok
15                              Ibiza Kenting Hotel II                              Ibizakenting Hotel II
20                                        Page 3 Lodge                                        Page3 Lodge
22                    The Dhara Dhevi Hotel Chiang Mai                         The Dhara Dhevi Chiang Mai
25                               Condor's House Hostel                                     Condor's House
26                                     Dong Fang Hotel                            Dong Fang Hotel Beijing
27                        Atamionsen Yuyado Ichibanchi                        Atamionsen Yuyadoichibanchi
28                       Mowbray by the Sea Apartments                                 Mowbray By The Sea
29                Benjoy Hotel Shanghai Jinqiao Branch                      Benjoy Hotel - Jinqiao Branch
30                                 Bayswell Park Hotel                          Bayswell Park Hotel & Spa
33                              Caribbean Noosa Resort                                    Caribbean Noosa
34              Chengdu Nine Point International Hotel             Nine Point International Hotel Chengdu
37                                Hotel Shiga Sunvally                  Shiga Kogen Hotel Shiga Sunvalley
39                                         Rodeway Inn                             Rodeway Inn Livingston
40                                         Rodeway Inn                           Rodeway Inn Central City
41                           Campanile Compiegne Hotel                          Campanile Hotel Compiegne
43                                Hostel El Lechuguero                               Hostal El Lechuguero
46                        Hotel Dreamtel Kota Kinabalu                             Dreamtel Kota Kinabalu
48                                     F Hotel Hualien                                  F Hotel - Hualien
49                              Hotel Folkestone Opera                Best Western Hôtel Folkestone Opéra
53                                 Time Travel Pension                           Jeju Time-Travel Pension
55                                Hibiscus Beach Hotel                      Hibiscus Beach Hotel & Villas
57             7 Days Inn Hefei Railway Station Branch                    7Days Inn Hefei Railway Station
58                  Manahara Casa Hotel and Restaurant                   Manahara Casa Hotel & Restaurant
59                   Monzi Safaris Luxury Tented Camps                         Monzi Safaris Tented Lodge
63    Balmain Furnished Apartments 704 Margaret Street  Balmain Self-Contained Modern One-Bedroom Apar...
64   7 Days Inn Wuhan Hankou Railway Station Second...      7Days Inn WuHan HanKou Railway Station Second
65            Nirvana Holiday Homes - Marina Diamond 4            Nirvana Holiday Home - Marina Diamond 4
67               Apollo Weekly Apartment at Juso Cosmo                   Apollo Weekly Juso Station Osaka
69             Peermont Metcourt at Frontier Bethlehem           Peermont Metcourt at Frontier, Bethlehem
70                           Al Nabarees Al Raqi Hotel                Al Nabarees Al Raqi Furnished Units
71                                    Bakeroom1 Hostel                                          Bake Room
73                                Even Suites by Spree                     Even Suites - Managed by Spree
77                                    Garden Inn No.52                                    Garden In No.52
81                                Guest House Bye Rome                                Bye Rome Guesthouse
85                    HOTEL MYSTAYS Sakaisuji-Honmachi                   HOTEL MYSTAYS Sakaisuji Honmachi
88                     Hilton Orlando Lake Buena Vista  Hilton Orlando Lake Buena Vista - Disney Sprin...
94                                   The Blue Boar Inn                                      The Blue Boar
95                                   Tsukuba Daily-Inn                                  Tsukuba Daily Inn
96                                  Bayview Eden Hotel                             Bayview Eden Melbourne
97                          Rothbury Escape Guesthouse                                    Rothbury Escape
98                           Tulips Hotel & Restaurant                                       Hotel Tulips
99                                     Hotel Noormahal                                   Hotel Noor Mahal
105                           Campanile Biarritz Hotel                                 Campanile Biarritz
106                  Hotel Gate in Kagoshima Tenmonkan                  Hotel Gate In Kagoshima Tenmonkan
108  Sleep Inn and Suites Wildwood The Villages Wil...                      Sleep Inn & Suites - Wildwood
109                           Nidhivan Sarovar Portico                 Nidhivan Sarovar Portico Vrindavan
111                           Tiras Patong Beach Hotel                           TIRAS Patong Beach Hotel
113                                Aree's Lagoon B & B                                Aree's Lagoon House
114                     Ilunion Puerta de Triana Hotel                           Ilunion Puerta de Triana
115                        Vacation Home Oceana Marina                                      Oceana Marina
116            Diwan Restaurant and Apartments Pvt LTD    Apartment Diwan restaurant & Apartments Pvt Ltd
117                                 @Samui Haus Resort                                        @Samui Haus
118                     Oyo Rooms - Cyber City Oakwood                       OYO Rooms Cyber City Oakwood
119                   7 Days Inn Emei Haochijie Branch                                 7Days Inn Mt. Emei
121               Atlantis Condo Resort Pattaya By ACC          Atlantis Condo Resort Pattaya by Kulisara
122  Hanting Hotel Shenzhen Sea World Merchants Roa...  Hanting Express Shenzhen Hai Shang Shi Jie Zha...
126                         Tsing House Olympic Center                 Tsing House Olympic Sailing Centre
128  Green Tree Inn Zibo Liuquan Road Wal-mart Squa...  GreenTree Inn ZiBo LiuQuan Road Wal-Mart Squar...
129  GreenTree Inn Eastern Yancheng Administration ...  GreenTree Eastern JiangSu Yancheng Administrat...
133                Xishuangbanna Boliheng Youth Hostel                      Boliheng International Hostel
134         Homeinns Plus Wangda Subway Station Suzhou   Home Inn Plus Suzhou Wanda Plaza Railway Station
135                          Budi house & food station                          Budi House & Food Station
137                                  Garden Guesthouse                          Thongchaleaune Guesthouse
138                     Vessel Hotel Higashi-Hiroshima                     Vessel Hotel Higashi Hiroshima
139                                  The Elegant Lodge                       The Elegant Lodge Menlo Park
145                        Poonsap Apartment Koh Lanta                                  Poonsap Apartment
146                      Campanile Paris Est - Bobigny                        Campanile Paris Est Bobigny
147                            Millenia Suites Ortigas                           Goldland Millenia Suites
151            Murray Gardens Country Cottages & Motel                    Murray Gardens Cottages & Motel
152                            Hanoi New Century Hotel                                  New Century Hotel
153                               Oaks On Market Hotel                                     Oaks On Market
155                               HF Fenix Porto Hotel                                     HF Fenix Porto
156          Mango Hotels - Bangalore – Koramangala II            Mango Hotels, Bangalore- Koramangala II
159                      Clarks Exotica Resort and Spa                        Clarks Exotica Resort & Spa
161                            Hotel Sevastopol Modern                                  Sevastopol Modern
162                                        Econo Lodge             Econo Lodge Belton - Kansas City South
163                                        Comfort Inn                             Comfort Inn Toms River
166                              Sasebo Dai-Ichi Hotel                               Sasebo Daiichi Hotel
167                                      The Donatello                                The Donatello Hotel
168            Comfort Inn Near Vail Beaver Creek Avon                      Comfort Inn Vail Beaver Creek
169                         Econo Lodge Inn and Suites             Econo Lodge Inn & Suites Gilbertsville
173                                   Lugogo Sun Hotel                                         Lugogo Sun
174                     ibis Moscow Centre Bakhrushina                     Ibis Moscow Centre Bakhrushina
175                                   Villa Moonshadow             Villa Moonshadow - Award Winning Villa
177                           Les Jardins de la Medina                           Les Jardins De La Médina
179                                      Cheviot Hotel                                  The Cheviot Hotel
183      AC Hotel by Marriott Paris Le Bourget Airport                  AC Hotel Paris Le Bourget Airport
184                              Hotel Vikrant - Kullu                                      Hotel Vikrant
185                                Subang Valley Hotel                                      Subang Valley
